rollout/ep_len_mean,custom/win_rate,custom/loss_rate,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,custom/tie_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
,0.419,0.507,,1120000,,,0.074,,-0.0004927899135509506,0.402250736951828,272,0.002044677734375,0.10212439298629761,-0.2512964475899935,0.0001,0.8376771360635757,0.0010990675,0.2,-0.012,1.54
1.57,0.4225,0.4995,296,1130496,3808,69,0.078,-0.045,,,,,,,,,,,,
1.49,0.4045,0.5055,301,1146880,3810,70,0.09,-0.08,-0.00019416416398598813,0.4113035500049591,276,0.0028076171875,0.11819684505462646,-0.25403998978435993,0.0001,0.8291912525892258,0.00045087264,0.2,,
,0.4105,0.515,,1160000,,,0.0745,,-0.0001952945822267793,0.40742191672325134,280,0.00439453125,0.1108090877532959,-0.24692062381654978,0.0001,0.8349440358579159,0.0011483988,0.2,-0.016,1.496
1.49,0.4325,0.491,305,1163264,3810,71,0.0765,-0.065,,,,,,,,,,,,
1.56,0.4225,0.483,309,1179648,3813,72,0.0945,0.15,-7.50255276216194e-05,0.3982279598712921,284,0.0001373291015625,0.1136631965637207,-0.24793967697769403,0.0001,0.8377653323113918,0.000751639,0.2,,
1.44,0.4265,0.497,313,1196032,3817,73,0.0765,-0.1,-0.00022649501261184923,0.4074980318546295,288,0.00225830078125,0.10768038034439087,-0.24633120140060782,0.0001,0.8343243040144444,0.00045370904,0.2,,
,0.4155,0.511,,1200000,,,0.0735,,-0.0002000372769543901,0.40816766023635864,292,0.0045013427734375,0.10628068447113037,-0.24821150489151478,0.0001,0.842506879940629,0.0013002085,0.2,-0.074,1.5
1.55,0.44,0.481,317,1212416,3816,74,0.079,-0.025,,,,,,,,,,,,
1.69,0.41,0.5065,321,1228800,3819,75,0.0835,0.07,-5.8427132898941636e-05,0.40577054023742676,296,0.003082275390625,0.11191195249557495,-0.24385946104303002,0.0001,0.8329795897006989,0.00040389187,0.2,,
,0.436,0.477,,1240000,,,0.087,,-0.00024866522653610446,0.41079288721084595,300,0.0013427734375,0.11141782999038696,-0.24563786014914513,0.0001,0.8342397920787334,0.0007574801,0.2,0.05,1.508
1.61,0.4275,0.488,326,1245184,3817,76,0.0845,0.085,,,,,,,,,,,,
1.54,0.4365,0.473,330,1261568,3819,77,0.0905,-0.07,-0.000481900162412785,0.3942067325115204,304,0.0075225830078125,0.11163771152496338,-0.24448957946151495,0.0001,0.8354799617081881,0.00024723852,0.2,,
1.42,0.4445,0.473,334,1277952,3821,78,0.0825,-0.02,0.00010928659321507439,0.3961508870124817,308,0.00604248046875,0.11235028505325317,-0.23736047325655818,0.0001,0.8315295465290546,0.00089681335,0.2,,
,,,,1280000,,,,,-0.0003506745706545189,0.40601658821105957,312,0.007110595703125,0.1126706600189209,-0.23363248631358147,0.0001,0.8211158234626055,0.000427161,0.2,-0.074,1.486
1.57,0.423,0.4845,338,1294336,3819,79,0.0925,-0.145,,,,,,,,,,,,
1.51,0.4175,0.493,343,1310720,3819,80,0.0895,0.05,-6.301547182374634e-05,0.39876365661621094,316,0.0020751953125,0.1155887246131897,-0.23167968355119228,0.0001,0.8234694954007864,0.0009378897,0.2,,
,0.4355,0.4795,,1320000,,,0.085,,2.3509295715484768e-05,0.40608611702919006,320,4.57763671875e-05,0.11125165224075317,-0.23220273153856397,0.0001,0.8332241121679544,0.00090540736,0.2,-0.087,1.544
1.64,0.4455,0.474,347,1327104,3815,81,0.0805,-0.165,,,,,,,,,,,,
1.58,0.412,0.496,352,1343488,3815,82,0.092,-0.19,-0.000515313495270675,0.40182989835739136,324,0.005828857421875,0.1102336049079895,-0.22985689621418715,0.0001,0.8314297515898943,0.0012113967,0.2,,
1.57,0.4145,0.4965,356,1359872,3817,83,0.089,-0.005,-7.411231126752682e-05,0.41165411472320557,328,0.001495361328125,0.10977393388748169,-0.22825108421966434,0.0001,0.832531314343214,0.00045571805,0.2,,
,,,,1360000,,,,,-0.0005173324752831832,0.40163636207580566,332,0.002105712890625,0.11301124095916748,-0.2230920884758234,0.0001,0.8237315211445093,0.0002937701,0.2,0.051,1.548
1.45,0.4285,0.487,360,1376256,3815,84,0.0845,0.07,,,,,,,,,,,,
1.57,0.418,0.5035,364,1392640,3816,85,0.0785,-0.175,-0.000147586441016756,0.39949044585227966,336,0.0001373291015625,0.10970151424407959,-0.22175635304301977,0.0001,0.8270286694169044,0.00040844968,0.2,,
,0.4165,0.4905,,1400000,,,0.093,,-0.0002804974683385808,0.4108850955963135,340,0.00177001953125,0.11143100261688232,-0.21696951938793063,0.0001,0.8215417172759771,0.0008869275,0.2,-0.016,1.534
1.7,0.42,0.4825,369,1409024,3814,86,0.0975,0.045,,,,,,,,,,,,
1.64,0.4285,0.487,373,1425408,3816,87,0.0845,-0.135,-0.0001444572480977513,0.4055543839931488,344,0.0032958984375,0.11579316854476929,-0.21358865732327104,0.0001,0.8205693736672401,0.0007687741,0.2,,
,0.4235,0.494,,1440000,,,0.0825,,-0.0005229555099504068,0.39495569467544556,348,0.006744384765625,0.1165209412574768,-0.21406823070719838,0.0001,0.8150260057300329,0.0008197206,0.2,-0.034,1.506
1.52,0.446,0.4775,377,1441792,3815,88,0.0765,0.13,,,,,,,,,,,,
1.45,0.4265,0.491,382,1458176,3816,89,0.0825,-0.16,-0.00011227195318497252,0.39422667026519775,352,0.0027008056640625,0.13001161813735962,-0.21521867020055652,0.0001,0.8076377362012863,0.00084547105,0.2,,
1.51,0.4125,0.505,386,1474560,3817,90,0.0825,0.1,-0.0005336112990335096,0.3940030038356781,356,0.007415771484375,0.12881267070770264,-0.21442086808383465,0.0001,0.8161641266196966,0.001518216,0.2,,
,0.4145,0.508,,1480000,,,0.0775,,-7.952545092848595e-05,0.40470051765441895,360,0.0021820068359375,0.11610662937164307,-0.21435935515910387,0.0001,0.8279873579740524,0.000120571654,0.2,-0.074,1.562
1.55,0.4315,0.4725,390,1490944,3816,91,0.096,-0.05,,,,,,,,,,,,
1.58,0.453,0.4715,394,1507328,3817,92,0.0755,0.18,-0.0001421161723555997,0.3998428285121918,364,0.0019378662109375,0.12007462978363037,-0.21171352500095963,0.0001,0.8170681223273277,0.00070586905,0.2,,
,0.4125,0.5005,,1520000,,,0.087,,-0.0002016135913436301,0.39624032378196716,368,0.00311279296875,0.11625516414642334,-0.20979194669052958,0.0001,0.822076003998518,0.0006757428,0.2,-0.057,1.532
1.55,0.431,0.483,399,1523712,3816,93,0.086,0.005,,,,,,,,,,,,
1.53,0.4285,0.482,403,1540096,3817,94,0.0895,-0.205,-3.677052154671401e-05,0.3866611123085022,372,0.0002593994140625,0.12403422594070435,-0.21058925427496433,0.0001,0.8163833767175674,0.0003868048,0.2,,
1.52,0.437,0.4755,407,1556480,3819,95,0.0875,-0.09,-7.20340249245055e-05,0.4013393819332123,376,6.103515625e-05,0.11797237396240234,-0.2069532941095531,0.0001,0.8164922967553139,0.00017060406,0.2,,
,0.4265,0.484,,1560000,,,0.0895,,-0.00019109655113425106,0.39789602160453796,380,0.00640869140625,0.13023227453231812,-0.20321206282824278,0.0001,0.8111366610974073,0.0007680129,0.2,-0.053,1.514
1.67,0.447,0.4675,412,1572864,3817,96,0.0855,0.03,,,,,,,,,,,,
1.54,0.416,0.484,416,1589248,3818,97,0.1,-0.125,-0.00011005085616488941,0.403043657541275,384,0.0028076171875,0.12983202934265137,-0.20417862199246883,0.0001,0.8105464335530996,0.00014917235,0.2,,
,0.417,0.5035,,1600000,,,0.0795,,-0.00036669839937530924,0.3963153064250946,388,0.0034027099609375,0.12517225742340088,-0.20540504343807697,0.0001,0.8187628071755171,0.00061660423,0.2,-0.06,1.514
1.59,0.4225,0.4915,420,1605632,3815,98,0.086,-0.185,,,,,,,,,,,,
1.42,0.4235,0.4945,425,1622016,3815,99,0.082,0.015,-3.024661054951139e-06,0.40070050954818726,392,0.000823974609375,0.12341487407684326,-0.20265138009563088,0.0001,0.8178683798760176,0.00051072333,0.2,,
1.49,0.423,0.4935,429,1638400,3815,100,0.0835,0.135,-0.00020052896434208378,0.3964023292064667,396,0.0028228759765625,0.12726378440856934,-0.20309129683300853,0.0001,0.8114297911524773,0.00090237363,0.2,,
,,,,1640000,,,,,-0.00010267230391036719,0.3876664340496063,400,0.0048828125,0.12880456447601318,-0.20408437075093389,0.0001,0.8049198146909475,0.00037230027,0.2,-0.041,1.536
1.5,0.419,0.4955,433,1654784,3813,101,0.0855,-0.03,,,,,,,,,,,,
1.51,0.4455,0.477,438,1671168,3814,102,0.0775,-0.105,-0.0004309307441872079,0.38391029834747314,404,0.0042266845703125,0.13480395078659058,-0.20116891292855144,0.0001,0.801440991461277,0.000776007,0.2,,
,0.419,0.4995,,1680000,,,0.0815,,-4.152862311457284e-05,0.39137881994247437,408,0.002532958984375,0.12762659788131714,-0.19804523885250092,0.0001,0.8105695191770792,0.00050061056,0.2,-0.028,1.52
1.52,0.4085,0.4965,442,1687552,3813,103,0.095,0.17,,,,,,,,,,,,
1.47,0.422,0.496,446,1703936,3813,104,0.082,-0.2,-0.00016884682554518804,0.3867114782333374,412,0.0038604736328125,0.12688720226287842,-0.19904727209359407,0.0001,0.8091445453464985,0.0008378757,0.2,,
,0.438,0.4815,,1720000,,,0.0805,,-0.0009031033368955832,0.3964080512523651,416,0.00933837890625,0.1255517601966858,-0.19883695524185896,0.0001,0.810346219688654,0.0014353395,0.2,-0.011,1.508
1.5,0.4285,0.488,451,1720320,3811,105,0.0835,-0.055,,,,,,,,,,,,
1.66,0.4265,0.484,455,1736704,3813,106,0.0895,0.21,-0.0002635836099216249,0.38765865564346313,420,0.0042572021484375,0.1257573366165161,-0.19700744422152638,0.0001,0.8092108108103275,0.0007234352,0.2,,
1.68,0.419,0.499,459,1753088,3812,107,0.082,-0.065,-5.11852340423502e-06,0.3972648084163666,424,0.0020904541015625,0.13357669115066528,-0.19752199156209826,0.0001,0.801474254578352,0.0004295978,0.2,,
